nubKey,scientificName,nameKey,taxonID,kingdom,phylum,class,order,family,genus,species,datasetKey,parentKey,parent,canonicalName,authorship,nameType,rank,taxonomicStatus,acceptedKey,acceptedName,datasetKeys,taxonKeys
1003567,"Pectinatella magnifica (Leidy, 1851)",8319966,gbif:1003567,Animalia,Bryozoa,Phylactolaemata,Plumatellida,Pectinatellidae,Pectinatella,Pectinatella magnifica,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1003566,Pectinatella,Pectinatella magnifica,"(Leidy, 1851) ",SCIENTIFIC,SPECIES,ACCEPTED,,,a811c07f-206d-46b8-ad59-93af4e2ce7c0|692a0aec-70e2-4038-ac9c-9a1d7acc025f,163299511|164743307
1004642,"Celleporaria brunnea (Hincks, 1884)",2137502,gbif:1004642,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,Celleporaria brunnea,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1004617,Celleporaria,Celleporaria brunnea,"(Hincks, 1884) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,148790934
1005670,"Watersipora aterrima (Ortmann, 1890)",11836559,gbif:1005670,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora aterrima,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1005669,Watersipora,Watersipora aterrima,"(Ortmann, 1890) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,164743312
1005675,"Watersipora cucullata (Busk, 1854)",11836581,gbif:1005675,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora cucullata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1005669,Watersipora,Watersipora cucullata,"(Busk, 1854) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,164743311
1005677,"Watersipora subtorquata (d'Orbigny, 1852)",11836667,gbif:1005677,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subtorquata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1005669,Watersipora,Watersipora subtorquata,"(d'Orbigny, 1852) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,164743314
1006197,"Caulibugula zanzibariensis (Waters, 1913)",2109886,gbif:1006197,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Caulibugula,Caulibugula zanzibariensis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1006185,Caulibugula,Caulibugula zanzibariensis,"(Waters, 1913) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,148790590
1007512,"Pacificincola perforata (Okada & Mawatari, 1937)",8042762,gbif:1007512,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Pacificincolidae,Pacificincola,Pacificincola perforata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1007511,Pacificincola,Pacificincola perforata,"(Okada & Mawatari, 1937) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,164743327
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",4419528,gbif:1008955,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Fenestrulinidae,Fenestrulina,Fenestrulina delicia,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1008901,Fenestrulina,Fenestrulina delicia,"Winston, Hayward & Craig, 2000",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,148791480
1010076,"Schizoporella unicornis (Johnston, 1844)",10155403,gbif:1010076,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella unicornis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1007532,Schizoporella,Schizoporella unicornis,"(Johnston, 1844) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,164743323
1010644,"Hanseniella caldaria (Hansen, 1903)",4986413,gbif:1010644,Animalia,Arthropoda,Symphyla,,Scutigerellidae,Hanseniella,Hanseniella caldaria,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1010637,Hanseniella,Hanseniella caldaria,"(Hansen, 1903) ",SCIENTIFIC,SPECIES,ACCEPTED,,,692a0aec-70e2-4038-ac9c-9a1d7acc025f,148791109
